"","temp","PDR.M.aegy","V3","V4","EFD.M.aegy","V6","V7","e2a.M.aegy","V9","V10","MDR.M.aegy","V12","V13","lf.M.aegy","V15","V16","a.M.aegy","V18","V19","b.M.aegy","V21","V22","c.M.aegy","V24","V25"
"61",11,0.00590140942730267,0,0.021620164924453,0.0696243478211745,0,0.864111666195313,1e-04,1e-04,1e-04,0.00239226311087264,0,0.0145063139251395,7.07919623067755,0,13.6264497980003,0.00224357409194702,0,0.025150783744085,0.000261090207969889,0,0,0.0173906659748648,0,0.13286129667604
"62",11.1,0.00614721284071935,0,0.0221163095956897,0.0743314453329699,0,0.88970290363287,1e-04,1e-04,1e-04,0.00257285403552312,0,0.0149659666413491,7.39068718074917,0,13.937810394447,0.00239756129424257,0,0.0260444228481988,0.000288877903590928,0,0,0.0182342438094197,0,0.135451045411069
"63",11.2,0.00639986539393026,0,0.022581319025398,0.0793035281580275,0,0.923356390145974,1e-04,1e-04,1e-04,0.00276461337475307,0,0.0154265431832845,7.70290625375967,0,14.2165330200806,0.00256009477213334,0,0.0270488106924146,0.000319612712249556,0,0,0.0191169617480577,0,0.138559900834143
"64",11.3,0.00665854405270724,0,0.0230913473834896,0.0845822883997882,0,0.950330041800456,1e-04,1e-04,1e-04,0.00296782963770252,0,0.015908854218846,8.01541207670498,0,14.4851567707815,0.0027330161921929,0,0.0279600454486361,0.000355145449549409,0,0,0.0200396048622693,0,0.14171852208337
"65",11.4,0.00692326159426084,0,0.0235525147068136,0.090147933775626,0,0.982344795033907,1e-04,1e-04,1e-04,0.0031831705574275,0,0.0163950061798687,8.32835411465832,0,14.7671530875606,0.00291778470869671,0,0.0290252703475136,0.000394451425054076,0,0,0.0209970270675546,0,0.144697882225674
"66",11.5,0.00719440105827111,0,0.024012001864713,0.0960124600123175,0,1.02138507517165,0.000100916115674686,1e-04,1e-04,0.00341102061373804,0,0.0168614449469643,8.64161187827297,0,15.0351422940457,0.00311276438113514,0,0.0300970296251889,0.000438127243747421,0,0,0.0219948032195208,0,0.148040296052786
"67",11.6,0.00747223821709684,0,0.0244790450822925,0.102132218670763,0,1.05496324706705,0.000103780119177119,1e-04,1e-04,0.00364995046160358,0,0.0173268623135923,8.95507501376883,0,15.288916222137,0.00331918314334811,0,0.0311131972495057,0.00048589752545072,0,0,0.0230339824801728,0,0.151391568007755
"68",11.7,0.00775638961489747,0,0.0249955882551685,0.10854229768146,0,1.09493692015067,0.000109054757666039,1e-04,1e-04,0.00390161394998761,0,0.017808805051696,9.26845532564765,0,15.5818657353373,0.00353621240425217,0,0.0321323637353543,0.000538990059570455,0,0,0.0241161922185191,0,0.154473672937303
"69",11.8,0.00804682717592941,0,0.0254633855933778,0.115398358197363,0,1.12727202677093,0.00011792282817143,1e-04,1e-04,0.00416639046512257,0,0.0182967084885109,9.58234485785301,0,15.8276106950891,0.00376614394491764,0,0.0331500908970554,0.000595732327353794,0,0,0.0252394691972575,0,0.157955480230096
"70",11.9,0.00834367224902743,0,0.0259742636689163,0.122611904931079,0,1.16346084935908,0.000129602825403581,1e-04,1e-04,0.00444411180385515,0,0.0188019552723847,9.89647815980486,0,16.0880365073295,0.00401055421707657,0,0.0341237934720119,0.00065774235852662,0,0,0.0264076101841621,0,0.161278256377663
